task_id,cash_offer_key,variant_id,store_id,seller_id,source_url,url_type,status,review_status,title_as_seen,notes,active,evidence_verified_at,created_at,updated_at
INSTTASK-9F82022F3102,VAR-B1E2C02C29A1E9|EG-013|STORE,VAR-B1E2C02C29A1E9,EG-013,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,بانتظار رصد التقسيط,يحتاج اكتشاف رابط المنتج,"Karcher Air Purifier withDual Protection Filter, White - AF 20",الملفات المرفوعة لا تحتوي خطة تقسيط فعلية لهذا الربط؛ الصف مُنشأ كمهمة جمع.,True,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00
INSTTASK-FBDB35014632,VAR-7566817D3245E0|EG-013|STORE,VAR-7566817D3245E0,EG-013,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,بانتظار رصد التقسيط,يحتاج اكتشاف رابط المنتج,"Karcher Air Purifier withDual Protection Filter, White - AF 30",الملفات المرفوعة لا تحتوي خطة تقسيط فعلية لهذا الربط؛ الصف مُنشأ كمهمة جمع.,True,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00
INSTTASK-A9B677E96E41,VAR-03F25D58D261DD|EG-013|STORE,VAR-03F25D58D261DD,EG-013,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,بانتظار رصد التقسيط,يحتاج اكتشاف رابط المنتج,"Philips PureProtect Mini 900 Series Smart Air Purifier withHEPA Filter, Arctic White - AC0920/10",الملفات المرفوعة لا تحتوي خطة تقسيط فعلية لهذا الربط؛ الصف مُنشأ كمهمة جمع.,True,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00
INSTTASK-BA3B9C9A057D,VAR-2501411C8A4E62|EG-013|STORE,VAR-2501411C8A4E62,EG-013,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,بانتظار رصد التقسيط,يحتاج اكتشاف رابط المنتج,"Sharp Air Purifier withPlasmacluster HEPA Filter, White - FP-J30SA-B",الملفات المرفوعة لا تحتوي خطة تقسيط فعلية لهذا الربط؛ الصف مُنشأ كمهمة جمع.,True,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00
INSTTASK-359A1133DA04,VAR-A73CF9195C4FD4|EG-013|STORE,VAR-A73CF9195C4FD4,EG-013,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,بانتظار رصد التقسيط,يحتاج اكتشاف رابط المنتج,"Sharp Air Purifier withHEPA Filter, White Black - FX-J80SA-W",الملفات المرفوعة لا تحتوي خطة تقسيط فعلية لهذا الربط؛ الصف مُنشأ كمهمة جمع.,True,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00
INSTTASK-EFB0B9DCF29B,VAR-FC80DC5580D45C|EG-013|STORE,VAR-FC80DC5580D45C,EG-013,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,بانتظار رصد التقسيط,يحتاج اكتشاف رابط المنتج,"Sharp Air Purifier withHEPA Filter, White - KC-G60SA-W",الملفات المرفوعة لا تحتوي خطة تقسيط فعلية لهذا الربط؛ الصف مُنشأ كمهمة جمع.,True,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00
INSTTASK-F9174D7CABC9,VAR-EDB9ABFA052AA0|EG-013|STORE,VAR-EDB9ABFA052AA0,EG-013,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,بانتظار رصد التقسيط,يحتاج اكتشاف رابط المنتج,"Xiaomi Smart 4 Smart Air Purifier, White - AC-M16-SC",الملفات المرفوعة لا تحتوي خطة تقسيط فعلية لهذا الربط؛ الصف مُنشأ كمهمة جمع.,True,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00
INSTTASK-5A100618EFF9,VAR-49E753DFD02D6D|EG-013|STORE,VAR-49E753DFD02D6D,EG-013,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,بانتظار رصد التقسيط,يحتاج اكتشاف رابط المنتج,"Xiaomi 4 Compact Air Purifier withHEPA Filter, White - AC-M18-SC",الملفات المرفوعة لا تحتوي خطة تقسيط فعلية لهذا الربط؛ الصف مُنشأ كمهمة جمع.,True,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00
INSTTASK-0C98C797F995,VAR-7DAFA8A2DB74BC|EG-013|STORE,VAR-7DAFA8A2DB74BC,EG-013,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,بانتظار رصد التقسيط,يحتاج اكتشاف رابط المنتج,"Xiaomi Mijia Smart Pet Care Air Purifier withTriple Layer Composite Filter, White - AC-M30-SC",الملفات المرفوعة لا تحتوي خطة تقسيط فعلية لهذا الربط؛ الصف مُنشأ كمهمة جمع.,True,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00
INSTTASK-D90BC7A0EBE8,VAR-F3E0A6458B8B0B|EG-013|STORE,VAR-F3E0A6458B8B0B,EG-013,,https://btech.com/en/c/large-home-appliances/cookers,صفحة فئة,بانتظار رصد التقسيط,يحتاج اكتشاف رابط المنتج,"Bosch Series 2 Gas Cooker, 5 Burners, Stainless Steel - HGV1F8Y50S",الملفات المرفوعة لا تحتوي خطة تقسيط فعلية لهذا الربط؛ الصف مُنشأ كمهمة جمع.,True,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00
INSTTASK-473DA2558823,VAR-0B99E8545B0295|EG-013|STORE,VAR-0B99E8545B0295,EG-013,,https://btech.com/en/p/549c6cbe-6795-462f-9551-a94d31bc22b0,رابط منتج مباشر,بانتظار رصد التقسيط,مهمة جاهزة لأول رصد,,"الملفات المرفوعة لا تحتوي خطة تقسيط فعلية لهذا الربط؛ الصف مُنشأ كمهمة جمع. | Catalogue title: Bosch Series 2 Gas Cooker, 5 Burners, Stainless Steel - HGV1F8Y50S",True,2026-07-30T00:00:00,2026-07-30T00:00:00,2026-07-30T00:00:00
