variant_id,model_id,canonical_name,section,product_type,brand,model,variant_name,ram_gb,storage_gb,color,manufacturer_sku,gtin,manufacturer_url,source_status,created_at,updated_at
VAR-B1E2C02C29A1E9,MOD-4C395C736CD7A3,Karcher AF 20 White,الأجهزة المنزلية,أجهزة تنقية الهواء,Karcher,AF 20,White,,,White,AF 20,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-7566817D3245E0,MOD-1337974DCE5C14,Karcher AF 30 White,الأجهزة المنزلية,أجهزة تنقية الهواء,Karcher,AF 30,White,,,White,AF 30,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-03F25D58D261DD,MOD-8A6F7B1DEE53B7,Philips AC0920/10 Arctic White,الأجهزة المنزلية,أجهزة تنقية الهواء,Philips,AC0920/10,Arctic White,,,Arctic White,AC0920/10,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-2501411C8A4E62,MOD-A081A347403983,Sharp FP-J30SA-B White,الأجهزة المنزلية,أجهزة تنقية الهواء,Sharp,FP-J30SA-B,White,,,White,FP-J30SA-B,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-A73CF9195C4FD4,MOD-B929B06C969392,Sharp FX-J80SA-W White Black,الأجهزة المنزلية,أجهزة تنقية الهواء,Sharp,FX-J80SA-W,White Black,,,White Black,FX-J80SA-W,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-FC80DC5580D45C,MOD-EEA6D449523F15,Sharp KC-G60SA-W White,الأجهزة المنزلية,أجهزة تنقية الهواء,Sharp,KC-G60SA-W,White,,,White,KC-G60SA-W,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-EDB9ABFA052AA0,MOD-71AC0C9B3A2358,Xiaomi AC-M16-SC White,الأجهزة المنزلية,أجهزة تنقية الهواء,Xiaomi,AC-M16-SC,White,,,White,AC-M16-SC,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-49E753DFD02D6D,MOD-3243537C28A20B,Xiaomi AC-M18-SC White,الأجهزة المنزلية,أجهزة تنقية الهواء,Xiaomi,AC-M18-SC,White,,,White,AC-M18-SC,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-7DAFA8A2DB74BC,MOD-C3D0657072BD09,Xiaomi AC-M30-SC White,الأجهزة المنزلية,أجهزة تنقية الهواء,Xiaomi,AC-M30-SC,White,,,White,AC-M30-SC,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-F3E0A6458B8B0B,MOD-6B40149392321F,Bosch HGV1F8Y50S 5 burners / Stainless Steel,الأجهزة المنزلية,بوتاجازات,Bosch,HGV1F8Y50S,5 burners | Stainless Steel,,,Stainless Steel,HGV1F8Y50S,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
