mapping_id,offer_id,offer_key,variant_id,store_id,seller_id,seller_name,store_sku,source_url,url_type,title_as_seen,match_method,match_confidence,evidence_level,extraction_hint,evidence_urls,evidence_count,evidence_verified_at,active,review_status,created_at,updated_at
MAP-ECB14A6301A41C00,CASH-98BA371578AC95,VAR-B1E2C02C29A1E9|EG-013|STORE,VAR-B1E2C02C29A1E9,EG-013,,,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,"Karcher Air Purifier withDual Protection Filter, White - AF 20",صفحة فئة,تحتاج مراجعة,store_category_listing,اكتشاف من صفحة فئة,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,1,2026-07-30T00:00:00,True,يحتاج اكتشاف رابط المنتج,2026-07-30T00:00:00,2026-07-30T00:00:00
MAP-ACE24DD65272C63C,CASH-FE99B26CE8BCB6,VAR-7566817D3245E0|EG-013|STORE,VAR-7566817D3245E0,EG-013,,,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,"Karcher Air Purifier withDual Protection Filter, White - AF 30",صفحة فئة,تحتاج مراجعة,store_category_listing,اكتشاف من صفحة فئة,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,1,2026-07-30T00:00:00,True,يحتاج اكتشاف رابط المنتج,2026-07-30T00:00:00,2026-07-30T00:00:00
MAP-7548A8139C92EF20,CASH-EA98EAD56BD521,VAR-03F25D58D261DD|EG-013|STORE,VAR-03F25D58D261DD,EG-013,,,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,"Philips PureProtect Mini 900 Series Smart Air Purifier withHEPA Filter, Arctic White - AC0920/10",صفحة فئة,تحتاج مراجعة,store_category_listing,اكتشاف من صفحة فئة,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,1,2026-07-30T00:00:00,True,يحتاج اكتشاف رابط المنتج,2026-07-30T00:00:00,2026-07-30T00:00:00
MAP-2F144A8E3D3547A5,CASH-D221F2CE3F00E9,VAR-2501411C8A4E62|EG-013|STORE,VAR-2501411C8A4E62,EG-013,,,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,"Sharp Air Purifier withPlasmacluster HEPA Filter, White - FP-J30SA-B",صفحة فئة,تحتاج مراجعة,store_category_listing,اكتشاف من صفحة فئة,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,1,2026-07-30T00:00:00,True,يحتاج اكتشاف رابط المنتج,2026-07-30T00:00:00,2026-07-30T00:00:00
MAP-65E0C0182C3AFE07,CASH-A21F33A2585F1C,VAR-A73CF9195C4FD4|EG-013|STORE,VAR-A73CF9195C4FD4,EG-013,,,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,"Sharp Air Purifier withHEPA Filter, White Black - FX-J80SA-W",صفحة فئة,تحتاج مراجعة,store_category_listing,اكتشاف من صفحة فئة,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,1,2026-07-30T00:00:00,True,يحتاج اكتشاف رابط المنتج,2026-07-30T00:00:00,2026-07-30T00:00:00
MAP-F2C6EEB5DAE7BC55,CASH-E11CD583A6D7EC,VAR-FC80DC5580D45C|EG-013|STORE,VAR-FC80DC5580D45C,EG-013,,,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,"Sharp Air Purifier withHEPA Filter, White - KC-G60SA-W",صفحة فئة,تحتاج مراجعة,store_category_listing,اكتشاف من صفحة فئة,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,1,2026-07-30T00:00:00,True,يحتاج اكتشاف رابط المنتج,2026-07-30T00:00:00,2026-07-30T00:00:00
MAP-CC4BCAEE5C218A4A,CASH-26CE284E7E2879,VAR-EDB9ABFA052AA0|EG-013|STORE,VAR-EDB9ABFA052AA0,EG-013,,,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,"Xiaomi Smart 4 Smart Air Purifier, White - AC-M16-SC",صفحة فئة,تحتاج مراجعة,store_category_listing,اكتشاف من صفحة فئة,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,1,2026-07-30T00:00:00,True,يحتاج اكتشاف رابط المنتج,2026-07-30T00:00:00,2026-07-30T00:00:00
MAP-B1F3B99E1D247E73,CASH-6C3209AF4AFFB8,VAR-49E753DFD02D6D|EG-013|STORE,VAR-49E753DFD02D6D,EG-013,,,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,"Xiaomi 4 Compact Air Purifier withHEPA Filter, White - AC-M18-SC",صفحة فئة,تحتاج مراجعة,store_category_listing,اكتشاف من صفحة فئة,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,1,2026-07-30T00:00:00,True,يحتاج اكتشاف رابط المنتج,2026-07-30T00:00:00,2026-07-30T00:00:00
MAP-860F2B1FD60A158C,CASH-E2F418E6BF0B6E,VAR-7DAFA8A2DB74BC|EG-013|STORE,VAR-7DAFA8A2DB74BC,EG-013,,,,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,صفحة فئة,"Xiaomi Mijia Smart Pet Care Air Purifier withTriple Layer Composite Filter, White - AC-M30-SC",صفحة فئة,تحتاج مراجعة,store_category_listing,اكتشاف من صفحة فئة,https://btech.com/en/c/small-home-appliances/air-treatment/air-purifiers,1,2026-07-30T00:00:00,True,يحتاج اكتشاف رابط المنتج,2026-07-30T00:00:00,2026-07-30T00:00:00
MAP-D546141CB7F32634,CASH-CF703EEE6C30B0,VAR-F3E0A6458B8B0B|EG-013|STORE,VAR-F3E0A6458B8B0B,EG-013,,,,https://btech.com/en/c/large-home-appliances/cookers,صفحة فئة,"Bosch Series 2 Gas Cooker, 5 Burners, Stainless Steel - HGV1F8Y50S",صفحة فئة,تحتاج مراجعة,store_category_listing,اكتشاف من صفحة فئة,https://btech.com/en/c/large-home-appliances/cookers,1,2026-07-30T00:00:00,True,يحتاج اكتشاف رابط المنتج,2026-07-30T00:00:00,2026-07-30T00:00:00
