store_id,name,base_url,primary_category,coverage_categories,store_type,public_price_status,online_purchase,priority,verification_confidence,registry_status,integration_difficulty,current_mapping_count,ready_mapping_count,file_link_status,active
EG-001,Orange Egypt Online Shop,https://shop.orange.eg/en,الاتصالات والأجهزة,الاتصالات والأجهزة,شركة اتصالات,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-002,Vodafone Egypt E-Shop,https://eshop.vodafone.com.eg/en/list,الاتصالات والأجهزة,الاتصالات والأجهزة,شركة اتصالات,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-003,Homzmart Appliances,https://homzmart.com/en/c/appliances,الأثاث والمنزل,الأثاث والمنزل,سوق إلكتروني / سوق إلكتروني متخصص,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-004,Abdulaziz Stores,https://www.abdulaziz-stores.com/en,الأجهزة المنزلية,الأجهزة المنزلية,سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-005,Cairo Sales,https://cairosales.com/en,الأجهزة المنزلية,الأجهزة المنزلية,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-006,EHAB Center,https://ehabcenter.com/,الأجهزة المنزلية,الأجهزة المنزلية,سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-007,ELARABY Group Shop,https://www.elarabygroup.com/en/electric-home-appliances,الأجهزة المنزلية,الأجهزة المنزلية,علامة مباشرة/سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-008,Fresh,https://fresh.com.eg/en,الأجهزة المنزلية,الأجهزة المنزلية,علامة مباشرة/سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-009,Raneen,https://www.raneen.com/en,الأجهزة المنزلية,الأجهزة المنزلية,سلسلة/سوق إلكتروني,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-010,Hedeya,https://hedeya.com/,الأطفال والأمومة,الأطفال والأمومة,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,25,25,مربوط بمنتجات,True
EG-011,OurKids,https://shop-ourkids.com/,الأطفال والأمومة,الأطفال والأمومة,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,20,20,مربوط بمنتجات,True
EG-012,Games 2 Egypt,https://www.games2egypt.com/,الألعاب والكمبيوتر,الألعاب والكمبيوتر,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,95,95,مربوط بمنتجات,True
EG-013,B.TECH,https://btech.com/en,الإلكترونيات والأجهزة,الإلكترونيات والأجهزة,سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,1159,266,مربوط بمنتجات,True
EG-014,LG Egypt,https://www.lg.com/eg_en,الإلكترونيات والأجهزة,الإلكترونيات والأجهزة,علامة مباشرة/سلسلة,ظاهر؛ بعض عروض الأعضاء,نعم,P0,B,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-015,Raya Shop,https://www.rayashop.com/en,الإلكترونيات والأجهزة,الإلكترونيات والأجهزة,سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-016,Rizkalla,https://riz.shop/en,الإلكترونيات والأجهزة,الإلكترونيات والأجهزة,سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-017,Samsung Egypt,https://www.samsung.com/eg,الإلكترونيات والأجهزة,الإلكترونيات والأجهزة,علامة مباشرة/سلسلة,ظاهر في صفحات الشراء؛ بعض عروض الأعضاء,نعم,P0,B,نشط,متوسطة,38,10,مربوط بمنتجات,True
EG-018,Sharaf DG Egypt,https://egypt.sharafdg.com/,الإلكترونيات والأجهزة,الإلكترونيات والأجهزة,سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-019,Breadfast,https://www.breadfast.com/en,البقالة والهايبرماركت,البقالة والهايبرماركت,تطبيق توصيل سريع,داخل التطبيق فقط,عبر التطبيق,P0,B,نشط,مرتفعة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-020,Gourmet Egypt,https://gourmetegypt.com/,البقالة والهايبرماركت,البقالة والهايبرماركت,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-021,HyperOne,https://www.hyperone.com.eg/en,البقالة والهايبرماركت,البقالة والهايبرماركت,هايبرماركت/سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-022,InstaShop Egypt,https://instashop.com/,البقالة والهايبرماركت,البقالة والهايبرماركت,سوق إلكتروني/تطبيق,داخل التطبيق فقط,عبر التطبيق,P0,B,نشط,مرتفعة,0,0,بانتظار اكتشاف روابط المنتجات,True
